Name,AVG,HITS,2B,3B,HR,RBIS,RUNS,SB,CS,AB,1B
1,0.273,3,0,0,0,0,1,0,0,11,3
2,1,1,0,0,0,0,0,0,0,1,1
3,0.125,1,0,0,0,0,0,0,0,8,1
4,0,0,0,0,0,0,0,0,0,1,0
5,0.2,4,1,1,1,3,3,0,0,20,1
6,0,0,0,0,0,0,0,0,0,1,0
7,?,0,0,0,0,0,0,0,0,0,0
8,?,0,0,0,0,0,0,0,0,0,0
